x,y,Z,id,index,OBJECTID,Type,Shape_Le,Area_ft2,Update_Y,PARID,No_of_PARID,No. of housing units,VALUEYEA,FINALFULLB,LANDUSECOD,LANDUSEDES,YEARBUIL,BASEMENT,STORYHEIGHT,HEATEDSQUA,STRUCTURES1,STRUCTURET,HAZUS,type,STRUCTURES
77.23797901,34.68954182,0,42431,27872,91276,Building Existing,214.0999934,2164.408409,2006,"56292.0, 56293.0",2,2,2021,270320,1,Residential,1997,NONE,1,3860,Single Family,Aluminum/Vinyl, A82,A82,Single Family
77.12846159,34.68787503,0,42432,27873,91277,Building Existing,221.8026751,3052.056336,2006,18380,1,1,2021,231210,6,Waterfront River/Creek,1993,NONE,2,2492,Single Family,Cedar/Redwood/Cypress, A26,A26,Single Family
77.23598975,34.68952625,0,42433,27874,91278,Building Existing,195.9977707,2328.189435,2006,58708,1,1,2021,130410,1,Residential,1998,NONE,1,1619,Single Family,Aluminum/Vinyl, A106,A106,Single Family
77.23733349,34.68955288,0,42434,27875,91279,Building Existing,231.9225465,2663.059634,2006,56291,1,1,2021,140010,1,Residential,1999,NONE,1,1623,Single Family,Aluminum/Vinyl, A102,A102,Single Family
77.49356435,34.69305138,0,42435,27876,91280,Building Existing,180.7043832,1736.445439,2006,58284,1,1,2021,87220,1,Residential,2000,NONE,1,1092,Single Family,Aluminum/Vinyl,A2,A2,Single Family
77.11885348,34.68777814,0,42436,27877,91282,Building Existing,182.5463861,1871.162347,2006,25409,1,1,2021,74410,1,Residential,1910,NONE,2,1897,Single Family,Cedar/Redwood/Cypress, A26,A26,Single Family
77.19198691,34.68891501,0,42437,27878,91284,Building Existing,144.850712,1145.082998,2006,38542,1,2,2021,24750,19,Building Site,1989,NONE,1,1152,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH
77.18829685,34.68882561,0,42439,27879,91286,Building Existing,246.5535158,2909.886104,2006,56227,1,1,2021,158970,19,Building Site,2000,NONE,1,1829,Single Family,Aluminum/Vinyl, A54,A54,Single Family
77.20252749,34.68907039,0,42440,27880,91287,Building Existing,172.413908,1584.317895,2006,11002,1,1,2021,42770,1,Residential,1973,NONE,1,1300,Single Family,Siding on Sheathing, A6,A6,Single Family
77.12067448,34.68783484,0,42441,27881,91288,Building Existing,151.1454658,1254.9643,2006,11473,1,1,2021,55680,3,Residential,1972,NONE,1,1000,Single Family,Aluminum/Vinyl, A50,A50,Single Family
77.13680932,34.68807455,0,42442,27882,91289,Building Existing,185.2316836,1683.017397,2006,12770,1,1,2021,70380,19,Building Site,1990,NONE,1,1000,Single Family,Cedar/Redwood/Cypress, A86,A86,Single Family
77.12412243,34.68789511,0,42443,27883,91290,Building Existing,168.2705898,1456.513196,2006,5138,1,1,2021,47370,1,Residential,1958,NONE,1,1075,Single Family,Aluminum/Vinyl, A54,A54,Single Family
77.13794725,34.68813614,0,42444,27884,91292,Building Existing,188.3729576,1188.438326,2006,2861,1,1,2021,6930,2,Residential,1980,NONE,1,924,Singlewide M/H,MODULAR METAL,B3,B3,Singlewide M/H
77.19518873,34.68898969,0,42445,27885,91293,Building Existing,164.1142472,1535.406715,2006,57964,1,2,2021,48040,19,Building Site,1998,NONE,1,1404,Multi-Section MH,SIDING ON SHEATHING,B3,B3,Multi-Section MH
77.12002319,34.68783941,0,42446,27886,91295,Building Existing,175.6844108,1603.212752,2006,"12329.0, 15585.0",2,2,2021,99200,3,Residential,1957,NONE,1,2390,Single Family,Asbestos Shingle, A106,A106,Single Family
77.13175606,34.68805208,0,42447,27887,91296,Building Existing,115.7271159,740.4376622,2006,19895,1,1,2021,7160,19,Building Site,1912,NONE,1,392,Single Family,Asbestos Shingle, A70,A70,Single Family
77.48542178,34.69302643,0,42451,27888,91300,Building Existing,177.3540631,1520.504353,2006,13179,1,1,2021,80510,19,Building Site,1959,NONE,1,1170,Single Family,Brick Frame, A62,A62,Single Family
77.12559064,34.68793192,0,42452,27889,91302,Building Existing,231.1631022,2218.105892,2006,27137,1,1,2021,20070,1,Residential,1953,NONE,1,1050,Single Family,Asbestos Shingle, A106,A106,Single Family
77.19319798,34.68898709,0,42454,27890,91304,Building Existing,219.7113503,2231.629352,2006,38563,1,2,2021,64330,19,Building Site,1995,NONE,1,1840,Multi-Section MH,ALUMINUM/VINYL,B3,B3,Multi-Section MH
77.48645245,34.69308038,0,42457,27891,91307,Building Existing,234.4171428,2376.409416,2006,28736,1,1,2021,0,19,Building Site,1950,NONE,1,1400,Single Family,Aluminum/Vinyl, A102,A102,Single Family
77.50438359,34.69327316,0,42458,27892,91308,Building Existing,194.6940778,1924.701678,2006,65910,1,1,2021,168420,1,Residential,2005,NONE,2,2256,Single Family,Aluminum/Vinyl, A30,A30,Single Family
77.12629425,34.68797491,0,42459,27893,91309,Building Existing,209.5595697,2070.15271,2006,14315,1,1,2021,74240,1,Residential,1953,NONE,1,1231,Single Family,Brick Veneer, A98,A98,Single Family
77.20194527,34.68911963,0,42460,27894,91310,Building Existing,218.3949439,2180.432774,2006,32157,1,1,2021,70260,1,Residential,1983,NONE,1,1476,Single Family,Siding on Sheathing, A78,A78,Single Family
77.5001868,34.69322843,0,42462,27895,91314,Building Existing,217.3715157,2294.451421,2006,57848,1,1,2021,106540,1,Residential,1999,NONE,1,1397,Single Family,Aluminum/Vinyl, A102,A102,Single Family
