OBJECTID,x,y,Year,STRUCTURET,id,taxval,landuse,yearbuilt,storey,Structures,StrucET,Type,type,Area_m2,Area_ft2
107636,77.43046171,34.74722994,2006,,40318,86370,Residential,0,1,SPECIAL/INSTITUTIONAL,,Building Existing,F16,237.197363,15548.44445
141685,77.46071235,34.84006582,2006,Aluminum/Vinyl,42992,101650,Residential,1986,1,Single Family,Aluminum/Vinyl,Building Existing,A10,231.7146327,51958.35151
124058,77.35551991,34.77449168,2006,Cedar/Redwood/Cypress,43710,294330,Residential,1986,1,Single Family,Cedar/Redwood/Cypress,Building Existing,A10,4146.030083,50662.66563
57319,77.63143999,34.86201422,2016,,66491,440940,Building Site Off-Road,0,1,RETAIL,,Building New,F16,350.3201409,666588.8002
29218,77.1435457,34.69214449,2016,Aluminum/Vinyl,75929,224820,Residential,2014,1,Single Family,Aluminum/Vinyl,Building New,A62,2882.441287,27400.00692
65883,77.11582504,34.69972901,2016,Concrete Block,24144,109680,Waterfront River/Creek,1959,1,Single Family,Concrete Block,Building Modified,A14,955.6453452,8922.669578
38297,77.33726905,34.74715489,2016,Aluminum/Vinyl,156455,171240,Residential,2013,2,Single Family,Aluminum/Vinyl,Building New,A26,1792.374235,12340.20733
41089,77.31701743,34.760121,2016,Brick Veneer,11745,99990,Residential,1975,1,Single Family,Brick Veneer,Building New,A14,89.59594952,17695.03989
46971,77.37430308,34.79286751,2016,Aluminum/Vinyl,27081,38100,Building Site,1962,1,Single Family,Aluminum/Vinyl,Building New,A14,288.5381146,10636.37263
83545,77.38339312,34.56672024,2006,Aluminum/Vinyl,43729,420950,Waterfront River/Creek,2001,1,Single Family,Aluminum/Vinyl,Building Existing,A62,4188.2101,12532.22328
18145,77.56844906,34.47790948,2016,Aluminum/Vinyl,150819,208710,Residential,2013,2,Single Family,Aluminum/Vinyl,Building New,A26,1652.479155,7406.463141
71217,77.4651848,34.81457586,2016,Brick Veneer,24853,106810,Residential,1976,1,Single Family,Brick Veneer,Building Modified,A10,1980.022507,21805.42833
128116,77.41767256,34.78327288,2006,Aluminum/Vinyl,34213,59590,Townhome,1982,2,Town Home,Aluminum/Vinyl,Building Existing,B35,1893.286232,3580.358862
30160,77.12060857,34.69712342,2016,Aluminum/Vinyl,54949,264850,Residential,2005,1,Single Family,Aluminum/Vinyl,Building New,A62,355.4653566,27813.03296
55660,77.5083452,34.842911,2016,ALUMINUM/VINYL,64470,98510,Residential,2004,1,Multi-Section MH,ALUMINUM/VINYL,Building New,B32,141.1035619,29186.8041
33864,77.5221378,34.72507461,2016,Aluminum/Vinyl,16789,94100,Residential,1981,1,Single Family,Aluminum/Vinyl,Building New,A10,352.947567,21895.5171
131706,77.41771108,34.79218416,2006,,49629,672620,Commercial,0,1,OFFICES/SERVICES,,Building Existing,F16,6064.524639,34619.45048
108913,77.34409779,34.74826888,2006,Aluminum/Vinyl,56903,157150,Residential,1998,2,Single Family,Aluminum/Vinyl,Building Existing,A30,1523.107286,28102.93585
27936,77.21740229,34.68807535,2016,"Frame Siding, Plywood",54754,108350,Residential,1996,1,Single Family,"Frame Siding, Plywood",Building New,A58,76.42392809,15214.46116
40838,77.39928337,34.76023381,2016,Aluminum/Vinyl,67823,78050,Building Site,2011,1,Single Family,Aluminum/Vinyl,Building New,A58,1242.547331,26660.53669
57802,77.55614487,34.86606271,2016,Aluminum/Vinyl,68735,130050,Residential,2007,1,Single Family,Aluminum/Vinyl,Building New,A58,1947.767198,33974.92018
45828,77.30977597,34.78529302,2016,Aluminum/Vinyl,156177,146700,Residential,2012,1,Single Family,Aluminum/Vinyl,Building New,A58,1899.702513,10000.47013
75576,77.47238323,34.46756332,2006,ALUMINUM/VINYL,23206,415410,Waterview,1995,1,Beach House,ALUMINUM/VINYL,Building Existing,A62,2029.785576,4932.507213
41529,77.531253,34.76473612,2016,Siding on Sheathing,33043,107510,Residential,1983,1,Single Family,Siding on Sheathing,Building New,A14,108.3770767,10103.79404
42847,77.49755484,34.77025079,2016,Aluminum/Vinyl,64194,132210,Residential,2004,1,Single Family,Aluminum/Vinyl,Building New,A58,116.1481786,39499.93296
